category,year,sales,emp,Export,gdp,inputs,n_firms,n_firms_export,n_new_firms,gdp_per_worker,sales_per_worker,export_share,avg_employment,TFP
medium domestic,2021,1.5612836170763487e10,322687.0,2.240069628635086e9,3.405784941378484e9,6.320825461082e6,3500,1317,21,10554.45351494942,48383.839977326286,0.14347615027369776,92.19628571428571,538.8196466344889
medium domestic,2022,1.5731417207e10,324717.0,2.265978462e9,3.357202226e9,6.175220208433302e6,3541,1400,27,10338.855760554576,48446.546398864244,0.1440415972816301,91.7020615645298,543.6570863359942
micro domestic,1990,2.640222349882927e9,26066.0,2.2799347226304457e8,4.7187580323447996e8,257676.9242123325,12468,973,9088,18103.115293273997,101289.89295952301,0.08635389071422499,2.090632017965993,1831.2691548803261
micro domestic,1991,3.562972178807185e9,46268.0,3.026892660360748e8,6.081584174992404e8,464293.03912756505,24081,2028,13924,13144.255586998366,77007.2659031552,0.08495414806674392,1.9213487811967942,1309.859003361341
micro domestic,1992,5.925646729117286e9,117954.0,5.746503466729183e8,1.4388919174722075e9,1.0625367283867607e6,76055,4937,56096,12198.754747377856,50236.92904960651,0.09697681501146815,1.5509039510880285,1354.2044044509062
micro domestic,1993,6.994223395574543e9,171292.0,5.204619170530489e8,1.5635196102731674e9,1.6030154238580097e6,94981,5729,32248,9127.802876218197,40832.16609984438,0.07441311030790937,1.8034343710847434,975.3615511135963
micro domestic,1994,8.548009505235129e9,212935.0,6.63899431471227e8,1.6746635334673896e9,2.0269625386455331e6,120959,6351,33908,7864.670126880924,40143.75046486078,0.07766713771956262,1.7603898841756298,826.1936279229124
micro domestic,1995,8.959065694011196e9,239390.0,7.814797239402608e8,1.752674089578446e9,2.3222056895276452e6,137491,7381,29174,7321.417308903655,37424.56115130622,0.08722781488952035,1.741132146831429,754.7454118652829
micro domestic,1996,9.156440256374542e9,274262.0,6.694509537085968e8,1.8122658286444144e9,2.7116833808336314e6,162322,8104,37165,6607.790465483423,33385.741576939356,0.07311257813783448,1.6896169342418157,668.3176367320892
micro domestic,1997,9.522244201870224e9,295020.0,6.507247076888641e8,1.9831888295917387e9,3.080961801578898e6,180906,7861,34748,6722.218255005555,32276.605660193287,0.06833732614849954,1.6307916818679313,643.6914695194909
micro domestic,1998,1.0808224777985481e10,331520.0,6.926099269754387e8,2.3091281577622633e9,3.6624599877305836e6,205746,8613,33784,6965.275572400649,32602.029373749643,0.06408174711412068,1.6113071457039263,630.4855658486244
micro domestic,1999,1.0869918120750656e10,350828.0,6.250651204009455e8,2.4260673164808097e9,4.0629112305338653e6,213575,8290,27224,6915.261371614608,30983.610546337968,0.05750412408421893,1.6426454407116937,597.1253563819619
micro domestic,2000,1.2017984306007608e10,383316.0,6.887350064690568e8,2.693585353648294e9,4.566537215451136e6,234321,8765,34381,7027.062146240423,31352.68109342581,0.05730869577893929,1.6358585017988145,589.8529293781721
micro domestic,2001,1.325914532399595e10,410914.0,7.080761832141957e8,2.4366386130578594e9,5.03116979879304e6,255462,7150,34489,5929.801888127101,32267.446044661294,0.053402852590562044,1.608513203529292,484.3085625220601
micro domestic,2002,1.4142792057673115e10,418341.0,6.882049702602102e8,2.5860279891000257e9,5.366840795966869e6,251904,7837,31868,6181.626924207825,33806.85148640251,0.04866118143106172,1.6607159870426829,481.8529349786939
micro domestic,2003,1.4708107640080257e10,429065.0,7.345842013584441e8,2.472651327186497e9,5.577641691467468e6,255433,8314,31854,5762.882843360557,34279.439339214936,0.04994416816454817,1.6797555523366205,443.31483877300604
micro domestic,2004,1.5819374210905823e10,462905.0,1.1859740586809852e9,2.2166992173382688e9,5.915574458378953e6,263643,9968,29552,4788.669850915995,34174.126896243986,0.07496972022214246,1.7558023539407457,374.7225621002008
micro domestic,2005,1.7223724436228474e10,466535.0,1.2288189347792928e9,2.2169401053025045e9,6.017323451223986e6,271623,10308,27164,4751.926662099317,36918.39719684155,0.0713445538059462,1.7175828261966033,368.42628176345676
micro domestic,2006,1.6824887149476189e10,489193.0,8.467713940983531e8,2.3798619478860207e9,6.145939503237823e6,279875,10401,27031,4864.873266555369,34393.1477954022,0.05032850363722741,1.7478981688253685,387.22508521801336
micro domestic,2007,1.6471701183023495e10,493536.0,9.257914236375804e8,2.5224954640225916e9,6.164397484647743e6,286936,12114,28117,5111.06679963081,33374.87272057863,0.05620496713428388,1.7200211893941506,409.20389548285857
micro domestic,2008,1.6144396359540241e10,503255.0,8.888333087373718e8,2.629683535211236e9,6.133207141320917e6,301098,13264,36708,5225.350041651322,32079.952230062772,0.05505522095362406,1.6713993450637334,428.7615719831823
micro domestic,2009,1.4415781773618946e10,497312.0,6.710920617876768e8,2.3152989820290046e9,5.998978104692567e6,311879,14157,35173,4655.626612728035,28987.399808608974,0.04655259578192168,1.5945671237883923,385.9488968992758
micro domestic,2010,1.4383171227790356e10,512947.0,1.0955254106207688e9,2.2964493128874726e9,5.923747378946708e6,334785,16190,47446,4476.971915007735,28040.26776214766,0.07616716739796965,1.5321684065893035,387.6683399851195
micro domestic,2011,1.4870915762018032e10,526095.0,9.69630865941739e8,2.43897681443133e9,5.901732308156714e6,353239,17837,46330,4636.000749734041,28266.59778560532,0.06520317117378095,1.4893457404193762,413.2645615017898
micro domestic,2012,1.4822903362078167e10,522357.0,1.3543860654252148e9,2.409011809635517e9,5.7996486523344405e6,354558,18627,32923,4611.811097842122,28376.95936319063,0.0913711728628129,1.4732624845582387,415.3720257977793
micro domestic,2013,1.5846003197596802e10,531260.8103173971,1.2977001325250955e9,2.9592016679914827e9,6.090606188582851e6,373386,19590,28979,5570.148617255494,29827.16377692107,0.08189447625013127,1.4228193084834384,485.86324191156143
micro domestic,2014,1.6760438144960629e10,541777.0,1.1488671126137915e9,3.1892433638041687e9,6.447649481008843e6,363925,20013,21685,5886.634840172559,30936.045909960423,0.06854636511750273,1.488705090334547,494.6365917064645
micro domestic,2015,1.8053932650979725e10,519168.0,9.673333399872532e8,3.418120478215287e9,6.414452931400868e6,364804,19155,17076,6583.842760369066,34774.740837223646,0.05358020098378728,1.423142290106468,532.8779421675163
micro domestic,2016,1.7411200626275333e10,512790.0,9.883583329468787e8,3.381019391727742e9,6.574361946282819e6,363236,19094,19493,6593.380119986236,33953.86147599472,0.05676566218272978,1.4117268112191523,514.2733879505051
micro domestic,2017,1.9006409743336452e10,505487.0,1.0526604341730072e9,3.74671833970897e9,6.710432411657822e6,357633,17403,18812,7412.096334245925,37600.194947321004,0.05538449651397547,1.4134238171533389,558.3423108770032
micro domestic,2018,2.1719269314146576e10,473684.0,3.186446952739098e8,4.341850823603937e9,6.5371162966599725e6,360426,574,20177,9166.133590334352,45851.81115289217,0.014671059632119602,1.3142337123292993,664.1844242272898
micro domestic,2019,2.265991024109201e10,486860.0,3.5440865003938866e8,4.667435247069639e9,6.8443315511419745e6,354467,584,18170,9586.811911164687,46542.96972659905,0.01564033777136044,1.3734988024273063,681.941722459497
micro domestic,2020,2.18175353348677e10,487498.0,3.59380871275476e8,4.654654797285432e9,6.977760785999954e6,360023,593,20168,9548.049012068628,44754.10224219935,0.016472111343444527,1.354074600789394,667.0699870686943
micro domestic,2021,2.409908990605004e10,508828.0,3.983105405382961e8,5.560263558044939e9,7.255141115723593e6,366633,564,25402,10927.589594214429,47361.95709758512,0.016528032473056207,1.3878401562325269,766.3894429282076
