category,year,sales,emp,Export,gdp,n_firms,n_firms_export,n_new_firms,gdp_per_worker,sales_per_worker,export_share
micro,2002,1.8575706369162994e10,449892.0,2.0141528056707892e9,3.4325162506066504e9,275845,6818,35616,7629.64500503821,41289.25690868696,0.10842940589405674
micro,2003,1.9453974304709724e10,460740.0,2.130823218689182e9,3.537330465104925e9,279776,7153,35651,7677.498079404708,42223.32401074299,0.10953151193241367
micro,2004,2.1328726606498043e10,496102.0,3.064250738564201e9,3.2750708966893377e9,288397,8095,33114,6601.6079287915345,42992.62370741912,0.14366777703600184
micro,2005,2.368990909255325e10,500005.0,3.894338106130256e9,3.5117573013455143e9,295800,8263,30361,7023.444368247347,47379.344391662584,0.16438805615148658
micro,2006,2.5471363128740223e10,523148.0,4.1673404412104363e9,3.768843978019427e9,303923,8227,30116,7204.163980402155,48688.637113666155,0.16360885046267043
micro,2007,2.6497629684886856e10,528720.0,4.773109728931336e9,4.0686642257621164e9,312586,9042,31886,7695.309853537064,50116.563937219806,0.18013346045264264
micro,2008,2.7008758947501106e10,540013.0,4.740015269861448e9,4.34944531246446e9,328620,9711,41026,8054.334455771362,50015.01620794519,0.1754991882105713
micro,2009,2.4023643519650135e10,534848.0,4.107179662735548e9,3.9994012727362947e9,339950,10133,38661,7477.640886263564,44916.76797828567,0.1709640612747222
micro,2010,2.2368231195047028e10,550019.0,3.79435135763834e9,3.788170194781075e9,363720,11366,51412,6887.344245891642,40668.10636550197,0.16963126518821564
micro,2011,2.2083826493290688e10,564138.0,3.3807518644554577e9,3.8728218974528494e9,382769,12371,50556,6865.025751594201,39146.142421341385,0.1530872317568048
micro,2012,2.1463665062428795e10,558870.0,3.2951720410278106e9,3.7638762572291746e9,382326,13169,35557,6734.797461358052,38405.470077887156,0.15352326974184222
micro,2013,2.275940992332667e10,567557.6722209454,3.303004206629576e9,4.034665796512722e9,400204,13460,31966,7108.820819432181,40100.61186251858,0.14512697024030694
micro,2014,2.3888402647674995e10,577152.0,3.57847895999917e9,4.448329183260701e9,389156,13402,24099,7707.378963012692,41390.14098136192,0.14979984274283217
micro,2015,2.466250352404161e10,552145.0,3.241809757997362e9,4.730906259763134e9,389301,12017,19345,8568.231641621556,44666.715308554114,0.1314469050085352
micro,2016,2.3801692867896698e10,543001.0,2.71281586354042e9,4.632355270871817e9,386546,12049,21711,8531.025303584738,43833.60779795377,0.11397575284232904
micro,2017,2.5813268277361805e10,533854.0,2.7100193713496466e9,5.027886970871458e9,379641,10790,21079,9418.093656451872,48352.67372233196,0.10498551916133492
micro,2018,2.7841563262647034e10,494011.0,1.7776322083984323e9,5.540091773679657e9,380325,596,22406,11214.510959633808,56358.18486359015,0.063848146443104
micro,2019,2.8869792357025528e10,506858.0,1.8973175189486964e9,5.850555918183663e9,373708,597,20268,11542.790916161259,56958.34406683041,0.06571981867708099
micro,2020,2.884555319466624e10,507647.0,1.9033587880143948e9,5.896272579266136e9,379166,615,21869,11614.906774325735,56822.06965601341,0.06598447861857404
micro,2021,3.159561433487919e10,528481.0,2.221222846946196e9,6.817354145966549e9,385259,603,27128,12899.90396242542,59785.71478421966,0.07030161918687976
micro,2022,3.090665518983561e10,545291.0,1.719933653e9,7.002379869943512e9,406048,599,29019,12841.54675199758,56679.19549348074,0.055649297616833064
small,1980,0.0,2744.0,0.0,0.0,87,0,87,0.0,0.0,NaN
small,1981,0.0,2603.0,0.0,0.0,82,0,4,0.0,0.0,NaN
small,1982,0.0,2437.0,0.0,0.0,85,0,11,0.0,0.0,NaN
small,1983,0.0,2887.0,0.0,0.0,98,0,10,0.0,0.0,NaN
small,1984,0.0,3284.0,0.0,0.0,110,0,8,0.0,0.0,NaN
small,1985,0.0,14819.0,0.0,0.0,549,0,425,0.0,0.0,NaN
small,1986,0.0,22920.0,0.0,0.0,875,0,352,0.0,0.0,NaN
